in_degree,out_degree,total_degree,CredCount
0,588,588,114
358,0,358,0
0,517,517,1
1,0,1,0
0,249,249,18
268,0,268,0
5,297,302,30
176,0,176,0
0,1767,1767,69
1407,0,1407,0
0,196,196,18
99,0,99,0
0,426,426,25
320,0,320,0
13,0,13,0
0,2,2,32
0,319,319,30
312,0,312,0
0,129,129,14
13,0,13,0
0,84,84,13
415,0,415,0
0,136,136,34
120,0,120,0
0,134,134,189
13,0,13,0
0,32,32,10
2,0,2,0
0,211,211,55
186,0,186,0
10,1802,1812,20
57,0,57,0
0,417,417,23
406,0,406,0
3,0,3,0
0,111,111,4
55,0,55,0
206,0,206,0
0,194,194,29
0,226,226,38
143,0,143,0
558,0,558,0
0,1710,1710,47
1566,0,1566,0
0,131,131,7
385,0,385,0
0,30,30,0
64,0,64,0
73,0,73,0
0,47,47,11
27,0,27,0
0,217,217,7
6,0,6,0
0,43,43,0
538,0,538,0
0,18,18,45
29,0,29,0
0,218,218,1
118,0,118,0
0,178,178,11
40,0,40,0
0,35,35,25
62,0,62,0
0,126,126,63
227,0,227,0
0,52,52,41
102,0,102,0
0,56,56,2
27,0,27,0
0,1238,1238,32
11,0,11,0
0,1172,1172,25
1017,0,1017,0
0,50,50,35
373,0,373,0
0,401,401,23
77,0,77,0
0,73,73,1
620,0,620,0
1,132,133,41
73,0,73,0
0,202,202,19
5,0,5,0
0,43,43,18
277,0,277,0
0,941,941,149
540,0,540,0
0,746,746,39
11,0,11,0
0,447,447,18
0,45,45,44
164,0,164,0
258,0,258,0
0,834,834,28
0,606,606,54
220,0,220,0
777,0,777,0
0,1315,1315,36
1379,0,1379,0
0,1,1,11
116,0,116,0
0,78,78,64
93,0,93,0
51,0,51,0
0,141,141,33
0,130,130,14
3,0,3,0
0,2465,2465,23
219,0,219,0
0,3270,3270,54
563,0,563,0
0,640,640,24
584,0,584,0
0,1174,1174,13
355,0,355,0
0,11,11,140
8,0,8,0
0,8,8,3
445,0,445,0
0,200,200,27
1206,0,1206,0
683,0,683,0
21,0,21,0
0,320,320,11
221,0,221,0
0,603,603,16
360,0,360,0
0,74,74,8
85,0,85,0
