Row Labels,Sum of 114
1,2790
2,4698
3,6492
4,8128
5,8555
6,9690
7,10367
8,10952
9,11412
10,12550
11,11891
12,12696
13,12922
14,13468
15,12975
16,13280
17,13668
18,14490
19,14497
20,14160
21,14364
22,13134
23,14145
24,13032
25,14025
26,13182
27,13554
28,14084
29,12934
30,14310
31,13299
32,13632
33,13761
34,13396
35,13265
36,11628
37,13135
38,12198
39,11856
40,12960
41,11849
42,11508
43,11825
44,11308
45,12420
46,11960
47,9541
48,11856
49,10388
50,9800
51,11526
52,10764
53,9805
54,10152
55,10450
56,9408
57,8835
58,9164
59,8378
60,8160
61,9089
62,8556
63,8064
64,8704
65,10010
66,7920
67,8710
68,7820
69,7452
70,7910
71,8449
72,7920
73,7300
74,6142
75,6000
76,6916
77,10472
78,7020
79,7821
80,6880
81,6480
82,6232
83,5063
84,6132
85,6205
86,5934
87,4698
88,5280
89,5073
90,5760
91,5915
92,5244
93,4650
94,5452
95,4655
96,4992
97,4656
98,3430
99,4752
100,4000
101,4444
102,4386
103,5871
104,3328
105,5040
106,3074
107,4494
108,3672
109,3924
110,5170
111,3219
112,3696
113,3616
114,4218
115,4370
116,3712
117,3393
118,3658
119,3689
120,3240
121,3630
122,3904
123,4059
124,3348
125,2500
126,3780
127,2667
128,2176
129,2967
130,1690
131,3275
132,2904
133,2527
134,2948
135,3105
136,2720
137,2329
138,2346
139,1112
140,4060
141,2679
142,3834
143,2574
144,1584
145,2030
146,2628
147,2499
148,2516
149,1639
150,1950
151,2265
152,2280
153,1836
154,308
155,2015
156,2496
157,1727
158,1580
159,2385
160,480
161,2254
162,1944
163,1141
164,1476
165,1320
166,1328
167,1169
168,1512
169,1183
170,680
171,1197
172,1376
173,1038
174,1566
175,175
176,1760
177,1416
178,356
179,1253
180,720
181,543
182,728
183,915
184,1472
185,1480
186,930
187,1683
188,564
189,1701
190,760
191,382
192,1536
193,965
194,194
195,585
196,784
197,1773
198,1782
199,1393
200,400
201,1608
202,1818
203,203
204,1020
205,615
206,1030
207,621
208,1248
209,1045
210,210
211,1055
212,424
213,213
214,1070
215,645
217,434
218,872
219,1314
220,1320
221,1326
222,666
223,1115
224,896
225,675
226,678
227,454
228,228
229,916
230,230
231,462
232,696
233,233
235,1175
236,944
238,1190
239,478
240,480
241,482
243,972
244,488
245,490
246,492
247,741
248,992
249,249
250,750
251,251
253,1012
254,508
255,255
257,257
258,774
259,259
260,260
261,261
262,262
263,1315
264,264
265,265
266,266
268,536
269,538
270,270
271,542
272,816
273,273
274,822
275,275
276,552
278,556
279,558
280,560
284,284
287,287
290,290
291,291
293,586
294,588
296,296
297,297
298,298
299,299
301,301
304,304
305,305
307,921
308,308
309,618
310,310
311,311
313,626
315,630
316,316
317,317
318,318
319,638
320,320
325,325
331,331
333,666
334,334
336,336
337,337
340,340
342,1368
345,345
346,346
351,351
353,353
354,354
356,356
357,357
358,716
360,720
362,724
363,363
369,369
374,374
375,375
377,377
378,756
381,381
383,383
389,389
400,400
405,405
408,408
415,415
418,418
424,424
425,425
430,430
431,431
439,439
448,448
455,455
467,467
478,478
479,479
491,491
497,497
514,1028
516,516
522,522
536,536
563,563
577,577
586,586
605,605
609,609
676,676
689,689
738,738
777,777
1091,1091
1149,1149
Grand Total,1271857
